pillar,indicator,act,check,verdict,evidence,suggested_correction,Codex Verdict,Codex Confidence,Codex Review Reason,Codex Final Action
2,2.1,Financial Procedure Act (Act 61) 1957,B-non-official-source,ERROR,References cite commonlii.org (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep commonlii.org only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
2,2.1,Financial Procedure Act (Act 61) 1957,A-dead-link,ERROR,http://www.commonlii.org/my/legis/consol_act/fpa19571972252/ -> 403,Replace with a live official link (format rules: broken links must be replaced),NEEDS HUMAN,Medium,"URL is inaccessible from audit environment (403); likely bad for reproducibility, but confirm before labeling dead.",Confirm before claiming
2,2.1,Government Contracts Act (Act 120) 1949,B-non-official-source,ERROR,References cite tcclaw.com.my (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep tcclaw.com.my only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
2,2.1,Government Contracts Act (Act 120) 1949,A-dead-link,ERROR,https://tcclaw.com.my/wp-content/uploads/2020/12/GOVERNMENT-CONTRACTS-ACT-1949.pdf -> 404,Replace with a live official link (format rules: broken links must be replaced),SHIP,High,Reference URL is objectively broken/unreachable in the audit and should be replaced with a live official source.,Use as scored audit finding
2,2.2000000000000002,Financial Procedure Act (Act 61) 1957,B-non-official-source,ERROR,References cite commonlii.org (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep commonlii.org only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
2,2.2000000000000002,Financial Procedure Act (Act 61) 1957,A-dead-link,ERROR,http://www.commonlii.org/my/legis/consol_act/fpa19571972252/ -> 403,Replace with a live official link (format rules: broken links must be replaced),NEEDS HUMAN,Medium,"URL is inaccessible from audit environment (403); likely bad for reproducibility, but confirm before labeling dead.",Confirm before claiming
2,2.2000000000000002,Official Secrets Act No.88 1972,B-non-official-source,ERROR,References cite tcclaw.com.my (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep tcclaw.com.my only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
2,2.2000000000000002,Official Secrets Act No.88 1972,A-dead-link,ERROR,https://tcclaw.com.my/wp-content/uploads/2020/12/Official-Secrets-Act-1972.pdf -> 404,Replace with a live official link (format rules: broken links must be replaced),SHIP,High,Reference URL is objectively broken/unreachable in the audit and should be replaced with a live official source.,Use as scored audit finding
3,3.4,Ministerial Functions Act (Act 2) 1969,B-non-official-source,ERROR,References cite commonlii.org (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep commonlii.org only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
3,3.4,Ministerial Functions Act (Act 2) 1969,A-dead-link,ERROR,http://www.commonlii.org/my/legis/consol_act/mfa1969251/ -> 403,Replace with a live official link (format rules: broken links must be replaced),NEEDS HUMAN,Medium,"URL is inaccessible from audit environment (403); likely bad for reproducibility, but confirm before labeling dead.",Confirm before claiming
